name\tfile\tcategory\tsource_note
IRMOF-1\tIRMOF-1.cif\tMOF\tRASPA2 public example; MOF-5
LTA\tLTA.cif\tzeolite\tIZA Structure Database idealized framework
CURATED_COF_07010N3\tCURATED_COF_07010N3.cif\tCOF\tCURATED-COFs representative entry
